# command: /scratch/shared/beegfs/angelyhe/AIMS-MP2/chamfer_eval.py /scratch/shared/beegfs/angelyhe/AIMS-MP2/data/a-benchtop-monocular-laboratory-microscope-a-hea_20260331_230942_552800_6c80d18c/actionmesh/unnormed/objs /scratch/shared/beegfs/angelyhe/AIMS-MP2/data/a-benchtop-monocular-laboratory-microscope-a-hea_20260331_230942_552800_6c80d18c/gt/unnormed/objs --export /scratch/shared/beegfs/angelyhe/AIMS-MP2/actionmesh/chamfer_results/unnormed/a-benchtop-monocular-laboratory-microscope-a-hea_20260331_230942_552800_6c80d18c.csv
frame,chamfer_squared
0,2.0021516712220046e-05
1,3.591723333632994e-05
2,4.795442967855446e-05
3,6.291357242026613e-05
4,8.167656080037376e-05
5,0.00010280549594621559
6,0.0001191871014589862
7,0.00012169489522716761
8,0.0001237440988689628
9,0.0001144052696268025
10,0.00010329060605194982
11,8.289191839709853e-05
12,6.418374875175474e-05
13,4.7937729040711506e-05
14,3.404393812254243e-05
15,2.624119232227801e-05
16,3.8607716164387265e-05
17,5.140905815718627e-05
18,6.847379487610764e-05
19,8.769709463789386e-05
20,0.00011412541726187213
21,0.00012976121452754763
22,0.0001374700797419384
23,0.00013886132666146515
24,0.00013261530798671663
25,0.00011441651891333767
26,9.314893668315423e-05
27,7.312150155447558e-05
28,5.4122687510421106e-05
29,4.013034440086948e-05
30,3.148989290518841e-05
